Id	Description	Qty	Unit	Designators
1	Cable, 2 x 16 AWG	140	mm	W1, W10, W12, W2, W5, W6, W7
2	Cable, 2 x 22 AWG	40	mm	W8, W9
3	Cable, 2 x 22 AWG shielded	80	mm	W11, W13, W3, W4
4	Connector, JST GH-1.25P, female, 2 pins	1		X13
5	Connector, JST GH-1.25R, male, 2 pins	2		X14, X17
6	Connector, JST PH-2.0P, female, 2 pins	1		X18
7	Connector, JST PH-2.0P, male, 2 pins	1		X5
8	Connector, JST PH-2.0R, female, 2 pins	1		X4
9	Connector, XT-30 (2+2)-F, female, 4 pins	4		X1, X10, X8, X9
10	Connector, XT-30U-F, female, 2 pins	3		X16, X2, X6
11	Connector, XT-30U-M, male, 2 pins	3		X15, X3, X7
12	Connector, XT30U-F, female, 2 pins	1		X11
13	Connector, XT30U-M, male, 2 pins	1		X12
